Fecha,Temperatura media (°C),Temperatura máxima (°C),Temperatura mínima (°C),Humedad (%),Precipitación (mm),Índice de calor (°C)
4/26/2021,"21,21","25,40","20,30","92,07","14,20","22,54"
4/27/2021,"21,09","26,60","19,20","90,30","13,40","22,26"
4/28/2021,"21,06","26,80","17,60","87,10","7,80","22,07"
4/29/2021,"20,35","25,50","18,40","89,44","0,60","21,28"
9/16/2021,"26,43","31,50","19,30","60,03","0,00","27,08"
9/17/2021,"25,46","32,90","18,80","65,73","0,00","26,24"
9/18/2021,"24,64","32,20","19,60","66,29","0,00","25,28"
9/19/2021,"24,34","30,40","19,90","70,06","0,00","25,25"
9/20/2021,"24,58","30,90","18,60","70,75","0,00","25,57"
9/21/2021,"23,38","28,80","20,30","79,85","0,60","24,56"
9/22/2021,"23,11","29,00","20,30","81,29","0,60","24,32"
9/23/2021,"21,49","26,10","19,20","87,90","2,80","22,62"
9/24/2021,"23,23","29,40","18,10","76,04","0,00","24,16"
9/25/2021,"25,50","33,50","19,90","68,71","0,00","26,63"
9/26/2021,"24,86","32,10","19,70","65,19","0,00","25,44"
9/27/2021,"24,99","32,90","18,50","66,96","0,00","25,91"
9/28/2021,"22,80","26,10","20,20","79,88","0,40","23,80"
9/29/2021,"22,92","28,40","19,30","78,08","2,40","23,89"
9/30/2021,"21,34","26,20","18,10","85,46","98,00","22,32"
10/1/2021,"23,29","28,70","18,90","78,08","0,00","24,42"
10/2/2021,"23,19","29,20","19,20","77,54","0,20","24,28"
10/3/2021,"23,96","31,60","18,30","73,79","0,00","25,03"
10/4/2021,"24,79","30,60","20,60","73,56","0,00","26,08"
10/5/2021,"23,41","28,30","20,40","80,06","0,00","24,60"
10/6/2021,"23,98","30,20","20,30","78,19","0,60","25,30"
10/7/2021,"24,71","31,40","20,50","77,40","1,20","26,23"
10/8/2021,"23,73","31,20","19,60","78,38","15,80","25,04"
10/9/2021,"21,59","25,30","19,40","88,71","3,20","22,77"
10/10/2021,"22,20","30,00","17,60","83,29","3,00","23,32"
10/11/2021,"22,41","28,10","19,70","82,44","0,20","23,46"
10/12/2021,"23,72","29,80","18,40","77,71","0,00","24,97"
10/13/2021,"22,91","29,70","19,60","85,54","45,20","24,59"
10/14/2021,"22,14","29,20","18,20","85,17","26,60","23,40"
10/15/2021,"23,22","29,40","17,90","77,94","0,20","24,32"
10/16/2021,"22,86","28,00","20,20","82,13","1,60","24,01"
10/17/2021,"21,71","25,80","18,70","83,38","1,20","22,66"
10/18/2021,"22,83","29,50","17,20","77,02","0,00","23,78"
10/19/2021,"23,00","29,20","18,80","79,94","12,80","24,15"
10/20/2021,"21,99","27,30","19,10","86,54","3,60","23,21"
10/21/2021,"21,35","25,10","19,40","88,50","5,00","22,49"
10/22/2021,"21,33","27,90","17,80","86,94","1,40","22,41"
10/23/2021,"21,40","27,40","18,20","86,81","0,80","22,46"
10/24/2021,"22,87","28,90","18,40","81,31","0,00","24,03"
10/25/2021,"21,57","26,80","19,40","88,75","29,00","22,76"
10/26/2021,"21,14","25,20","18,60","89,52","1,60","22,22"
10/27/2021,"22,68","29,10","18,50","81,90","1,60","23,80"
10/28/2021,"23,35","30,10","18,20","79,35","5,20","24,59"
10/29/2021,"23,39","30,30","18,50","75,92","0,00","24,40"
10/30/2021,"24,02","30,20","18,30","71,98","0,00","24,99"
10/31/2021,"22,18","28,20","18,40","82,52","13,60","23,19"
11/1/2021,"23,65","29,80","19,60","76,19","0,00","24,78"
11/2/2021,"24,17","30,60","20,20","74,10","0,00","25,25"
11/3/2021,"23,47","29,80","19,40","77,46","3,60","24,59"
11/4/2021,"22,45","27,20","20,30","83,35","7,80","23,58"
11/5/2021,"22,99","28,80","19,50","81,48","0,00","24,21"
11/6/2021,"23,68","28,90","20,10","78,75","0,00","24,96"
11/7/2021,"23,26","29,30","18,40","75,35","0,00","24,21"
11/8/2021,"22,40","26,70","20,00","81,76","0,00","23,44"
11/9/2021,"22,25","27,50","19,70","83,17","0,60","23,32"
11/10/2021,"22,38","28,40","19,60","83,83","0,00","23,57"
11/11/2021,"22,19","28,80","18,80","84,63","2,80","23,41"
12/11/2021,"23,4","28,9","20,7","80,67",0,"24,61"
13/11/2021,"21,78","25,4","19,2","85,33","0,4","22,86"
14/11/2021,"23,23","28,2","19,7","77,5",0,"24,27"
15/11/2021,"22,92","28,5","20,7","81,25","0,2","24,08"
16/11/2021,"23,48","29,9","19,5","80,08",0,"24,74"
17/11/2021,"24,13","30,4","19,9",77,0,"25,37"
18/11/2021,"22,62","27,6","20,5","81,58","6,4","23,7"
19/11/2021,"20,31","22,8","19,2","92,92","44,4","21,45"
20/11/2021,"22,03","26,8","18,4","84,08","0,4","23,07"
21/11/2021,"22,5","28,2","19,7","83,25",0,"23,65"
22/11/2021,"22,38",28,"19,6","82,75","8,4","23,45"
23/11/2021,"21,52","26,7","18,7","87,83",19,"22,67"
24/11/2021,"21,44","26,9","18,9",88,"2,8","22,58"
25/11/2021,"20,64","25,5","17,9","89,67","1,2","21,69"
26/11/2021,"21,43","26,8","18,4",88,"5,4","22,56"
27/11/2021,"22,91","29,6","19,3","82,67","4,6","24,23"
28/11/2021,"23,49","29,2","18,2","76,08",0,"24,57"
29/11/2021,"22,43","26,5","19,7","83,42","4,6","23,57"
30/11/2021,"21,13","25,3","18,8","91,58","36,4","22,39"
1/12/2021,"21,95","27,6",18,85,4,"23,08"
2/12/2021,"23,96","30,2","18,4","76,25","1,8","25,27"
3/12/2021,"22,76","28,6","19,6","86,33","1,6","24,21"
4/12/2021,"23,02","28,7","19,3","84,17","1,2","24,43"
5/12/2021,"23,73","29,1","20,1","81,33","1,2","25,18"
6/12/2021,"23,82","29,6","20,5","82,33",1,"25,33"
7/12/2021,"24,23","30,7","19,4","77,08","0,8","25,64"
8/12/2021,"24,33","31,1","19,2","77,08","0,6","25,69"
9/12/2021,"23,28","26,3","19,9","83,33","0,6","24,58"
10/12/2021,"23,06","26,5","19,7","81,92","0,6","24,21"
11/12/2021,"20,8","22,8","19,3","91,75","0,4","21,98"
12/12/2021,"19,93","23,9","17,8","92,58","0,6","20,95"
13/12/2021,"21,18","26,2","16,9","85,08","0,8","22,07"
14/12/2021,"23,07","28,2","18,7","79,92","0,6","24,21"
15/12/2021,"23,52","29,2","19,5","78,58","0,6","24,71"
16/12/2021,"23,17","28,2","20,2","79,75","0,6","24,28"
17/12/2021,"23,78","28,5","20,3","78,75","0,6","25,08"
18/12/2021,"22,93","27,4","20,3","81,83","0,4","24,11"
19/12/2021,"22,83","27,9","19,9","83,42","0,4","24,11"
