Fecha,Temperatura media (°C),Temperatura máxima (°C),Temperatura mínima (°C),Humedad (%),Precipitación (mm),Índice de calor (°C)
2/10/2021,"25,67","25,98","25,60","70,88","0,00","27,00"
2/11/2021,"23,49","23,92","22,99","79,19","0,00","24,72"
2/12/2021,"23,42","24,01","22,90","77,92","26,42","24,63"
2/13/2021,"23,71","24,10","23,20","80,96","21,33","25,15"
2/14/2021,"24,95","25,61","24,25","74,25","7,11","26,41"
2/15/2021,"22,40","22,96","21,90","84,75","6,59","23,66"
2/16/2021,"22,65","23,28","22,04","82,58","18,03","23,96"
2/17/2021,"22,39","22,83","21,97","82,21","2,53","23,50"
2/18/2021,"21,34","21,59","21,08","87,00","1,52","22,36"
2/19/2021,"23,25","23,71","22,71","80,75","0,00","24,53"
2/20/2021,"24,13","24,76","23,55","75,92","1,02","25,39"
2/21/2021,"24,08","24,58","23,47","77,17","2,53","25,48"
2/22/2021,"23,02","23,58","22,46","81,29","28,95","24,23"
2/23/2021,"23,77","24,19","23,32","80,54","0,00","25,25"
2/24/2021,"23,65","23,99","23,33","80,88","0,00","25,00"
2/25/2021,"25,52","26,04","24,98","73,92","0,00","27,06"
2/26/2021,"23,20","23,68","22,83","82,83","2,03","24,40"
2/27/2021,"23,28","23,83","22,84","83,54","6,09","24,75"
2/28/2021,"22,71","23,16","22,26","86,54","3,81","24,20"
3/1/2021,"21,22","21,68","20,80","91,25","47,75","22,53"
3/2/2021,"21,82","22,17","21,44","87,25","2,53","23,02"
3/3/2021,"22,68","23,19","22,24","83,46","20,56","23,97"
3/4/2021,"22,73","23,06","22,28","82,96","4,57","23,95"
3/5/2021,"23,13","23,68","22,69","82,54","4,32","24,56"
3/6/2021,"23,16","23,52","22,67","83,96","0,00","24,64"
3/7/2021,"23,59","24,11","23,17","81,79","2,02","25,02"
3/8/2021,"21,79","21,95","21,51","91,31","1,25","23,08"
3/9/2021,"22,69","28,60","19,60","85,04","0,76","24,00"
3/10/2021,"20,59","22,80","18,90","93,38","9,14","21,82"
3/11/2021,"21,06","25,20","19,10","88,63","5,08","22,12"
3/12/2021,"22,28","29,50","19,40","83,88","2,28","23,47"
3/13/2021,"22,28","28,40","19,20","85,71","10,92","23,56"
3/14/2021,"23,38","30,70","18,80","80,78","4,06","24,72"
3/15/2021,"20,26","24,00","17,60","88,46","17,27","21,17"
3/16/2021,"22,77","29,20","19,20","80,83","1,27","23,92"
3/17/2021,"22,33","28,30","19,20","86,63","5,33","23,62"
3/18/2021,"21,03","26,90","18,70","89,92","20,83","22,22"
3/19/2021,"22,39","28,90","19,40","83,29","17,02","23,60"
3/20/2021,"22,39","27,60","19,20","84,50","5,08","23,59"
3/21/2021,"24,31","31,20","19,60","74,29","0,00","25,68"
3/22/2021,"22,55","28,40","19,30","82,58","9,40","23,73"
3/23/2021,"22,12","28,10","19,00","85,94","0,00","23,37"
5/10/2021,"23,66","27,7","20,6","83,25",0,"25,18"
6/10/2021,"23,43","29,6","20,5","83,33",1,"24,87"
7/10/2021,"24,69","31,1","20,4","74,92",0,"25,87"
8/10/2021,"25,06","32,8","19,9","73,5","31,4","26,43"
9/10/2021,"22,31","27,9","19,6","86,83","6,6","23,61"
10/10/2021,"22,24","28,7","19,7",86,5,"23,55"
11/10/2021,"22,89","28,4","19,1","84,67","0,2","24,24"
12/10/2021,"24,03","32,4","20,4","79,5","5,6","25,53"
13/10/2021,"24,35","31,3",20,"80,75",1,"26,13"
14/10/2021,"23,53","29,2","20,5","81,5","6,8","24,94"
15/10/2021,"24,03","30,5","20,3","78,83",0,"25,48"
16/10/2021,"21,79","26,5","18,3","85,25","43,8","22,84"
17/10/2021,"21,85","25,8","19,3","90,33","2,8","23,13"
18/10/2021,"23,04","28,4","19,8","81,42",0,"24,26"
19/10/2021,"23,34","29,7","19,9","80,5","10,2","24,63"
20/10/2021,"22,28",27,"19,7","88,58","0,2","23,68"
21/10/2021,"21,63","27,9","18,4",89,"50,8","22,93"
