Fecha,Temperatura media (°C),Temperatura máxima (°C),Temperatura mínima (°C),Humedad (%),Precipitación (mm),Índice de calor (°C)
28/07/2021,"24,45","26,40","23,40","87,00","2,20","26,07"
29/07/2021,"23,70","27,40","21,60","89,58","37,80","25,29"
30/07/2021,"21,29","22,90","20,10","94,75","12,60","22,68"
31/07/2021,"22,33","25,70","18,90","88,71","0,40","23,63"
8/1/2021,"21,90","23,80","21,10","93,42","6,00","23,25"
8/2/2021,"22,30","25,30","20,20","91,15","25,00","23,69"
8/3/2021,"23,59","29,30","19,70","83,74","7,60","25,20"
8/4/2021,"26,09","32,20","21,30","72,04","0,00","27,90"
8/5/2021,"25,42","32,40","21,70","75,25","13,00","27,26"
8/6/2021,"21,59","26,10","19,70","88,65","0,00","22,84"
8/7/2021,"25,78","32,10","19,80","72,33","0,00","27,53"
8/8/2021,"26,98","33,20","20,40","73,42","11,20","29,27"
8/9/2021,"24,72","28,70","22,40","87,63","0,20","26,75"
8/10/2021,"24,73","28,80","22,10","86,79","1,40","26,77"
8/11/2021,"25,24","32,20","22,10","82,71","3,60","27,46"
8/12/2021,"25,44","33,20","20,40","81,46","41,00","28,24"
13/8/2021,"25,17","30,10","21,30","85,88","0,00","27,60"
14/8/2021,"25,08","30,40","22,20","86,81","0,80","27,47"
15/8/2021,"24,38","29,40","21,80","87,53","8,40","26,49"
16/8/2021,"25,57","31,10","21,40","83,92","0,20","28,23"
17/8/2021,"25,77","31,60","22,10","82,67","4,20","28,30"
18/8/2021,"26,37","31,80","21,80","78,25","0,00","29,03"
19/8/2021,"27,70","34,00","21,70","70,79","0,40","30,55"
20/8/2021,"24,49","29,80","21,80","88,42","75,00","26,71"
21/8/2021,"26,06","32,20","22,10","81,92","0,00","28,87"
22/8/2021,"26,73","33,50","20,60","77,71","0,00","29,94"
23/8/2021,"25,64","32,40","22,70","85,09","0,20","28,23"
24/8/2021,"26,43","32,60","21,80","80,96","0,00","29,48"
25/8/2021,"26,54","34,00","21,60","80,89","1,40","29,61"
26/8/2021,"27,93","32,70","21,80","77,16","0,00","31,87"
27/8/2021,"23,19","26,30","20,80","91,63","32,40","24,76"
28/8/2021,"24,23","27,20","21,40","87,45","0,00","26,11"
29/8/2021,"26,21","33,30","21,40","78,33","0,00","28,73"
30/8/2021,"24,83","28,40","21,80","87,55","7,00","27,09"
