id,individualCount,sex,organismRemarks,eventID,eventDate,locationID,county,locality,verbatimElevation,decimalLatitude,decimalLongitude,scientificName,higherClassification,genus,subgenus,specificEpithet,vernacularName
INS:ProyectoDengue67217:Aed-001,5,2 Machos | 3 Hembras,Sin alimento de sangre,Barrio_Puerto_Nuevo,2021-02-10,CO:19532,Patía,Casa ubicada en el barrio Puerto Nuevo de Patía (El Bordo),1024 m,2.1289015,-76.9730418,Aedes aegypti,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia,Aedes,Aedes (Stegomyia),aegypti,Zancudo común
INS:ProyectoDengue67217:Aed-002,1,Hembra,Sin alimento de sangre,Barrio_Puerto_Nuevo,2021-02-10,CO:19532,Patía,Casa ubicada en el barrio Puerto Nuevo de Patía (El Bordo),1028 m,2.1293893,-76.9727151,Aedes aegypti,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia,Aedes,Aedes (Stegomyia),aegypti,Zancudo común
INS:ProyectoDengue67217:Aed-003,2,1 Macho | 1 Hembra,Hembra con sangre,Barrio_Puerto_Nuevo,2021-02-10,CO:19532,Patía,Casa ubicada en el barrio Puerto Nuevo de Patía (El Bordo),1023 m,2.1296558,-76.9732849,Aedes aegypti,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia,Aedes,Aedes (Stegomyia),aegypti,Zancudo común
INS:ProyectoDengue67217:Culx-001,6,3 Machos | 3 Hembras,1 hembra con sangre,Barrio_Puerto_Nuevo,2021-02-10,CO:19532,Patía,Casa ubicada en el barrio Puerto Nuevo de Patía (El Bordo),1023 m,2.1296558,-76.9732849,Culex quinquefasciatus,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Culicini | Culex | Culex | Pipiens,Culex,Culex (Culex),quinquefasciatus,Mosquito
INS:ProyectoDengue67217:Culx-002,2,2 Hembras,1 hembra con sangre,Barrio_Puerto_Nuevo,2021-02-10,CO:19532,Patía,Casa ubicada en el barrio Puerto Nuevo de Patía (El Bordo),1024 m,2.1299288,-76.9733261,Culex quinquefasciatus,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Culicini | Culex | Culex | Pipiens,Culex,Culex (Culex),quinquefasciatus,Mosquito
INS:ProyectoDengue67217:Aed-004,1,Hembra,Sin alimento de sangre,Barrio_Puerto_Nuevo,2021-02-10,CO:19532,Patía,Casa ubicada en el barrio Puerto Nuevo de Patía (El Bordo),1027 m,2.1300507,-76.973084,Aedes albopictus,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia | Scutellaris,Aedes,Aedes (Stegomyia),albopictus,Mosquito tigre
INS:ProyectoDengue67217:Culx-003,2,1 Macho | 1 Hembra,Sin alimento de sangre,Barrio_Puerto_Nuevo,2021-02-10,CO:19532,Patía,Casa ubicada en el barrio Puerto Nuevo de Patía (El Bordo),1027 m,2.1300507,-76.973084,Culex quinquefasciatus,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Culicini | Culex | Culex | Pipiens,Culex,Culex (Culex),quinquefasciatus,Mosquito
INS:ProyectoDengue67217:Aed-005,60,35 Machos | 25 Hembras,Sin alimento de sangre,Barrio_Puerto_Nuevo,2021-02-10,CO:19532,Patía,Casa ubicada en el barrio Puerto Nuevo de Patía (El Bordo),1030 m,2.1301417,-76.9729236,Aedes aegypti,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia,Aedes,Aedes (Stegomyia),aegypti,Zancudo común
INS:ProyectoDengue67217:Aed-006,1,Hembra,Sin alimento de sangre,Barrio_Puerto_Nuevo,2021-02-10,CO:19532,Patía,Casa ubicada en el barrio Puerto Nuevo de Patía (El Bordo),1030 m,2.1301417,-76.9729236,Aedes albopictus,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia | Scutellaris,Aedes,Aedes (Stegomyia),albopictus,Mosquito tigre
INS:ProyectoDengue67217:Culx-004,2,2 Machos,,Barrio_Puerto_Nuevo,2021-02-10,CO:19532,Patía,Casa ubicada en el barrio Puerto Nuevo de Patía (El Bordo),1030 m,2.1302577,-76.9731385,Culex quinquefasciatus,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Culicini | Culex | Culex | Pipiens,Culex,Culex (Culex),quinquefasciatus,Mosquito
INS:ProyectoDengue67217:Aed-007,8,2 Machos | 6 Hembras,1 hembra con sangre,Barrio_Olaya_Herrera,2021-02-11,CO:19532,Patía,Casa ubicada en el barrio Olaya Herrera de Patía (El Bordo),998 m,2.1098701,-76.9828093,Aedes aegypti,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia,Aedes,Aedes (Stegomyia),aegypti,Zancudo común
INS:ProyectoDengue67217:Aed-008,1,Hembra,Sin alimento de sangre,Barrio_Olaya_Herrera,2021-02-11,CO:19532,Patía,Casa ubicada en el barrio Olaya Herrera de Patía (El Bordo),997 m,2.1135735,-76.9858328,Aedes aegypti,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia,Aedes,Aedes (Stegomyia),aegypti,Zancudo común
INS:ProyectoDengue67217:Aed-009,1,Macho,,Barrio_Olaya_Herrera,2021-02-11,CO:19532,Patía,Casa ubicada en el barrio Olaya Herrera de Patía (El Bordo),997 m,2.1097307,-76.9828536,Aedes aegypti,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia,Aedes,Aedes (Stegomyia),aegypti,Zancudo común
INS:ProyectoDengue67217:Culx-005,3,3 Machos,,Barrio_Olaya_Herrera,2021-02-11,CO:19532,Patía,Casa ubicada en el barrio Olaya Herrera de Patía (El Bordo),997 m,2.1097307,-76.9828536,Culex quinquefasciatus,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Culicini | Culex | Culex | Pipiens,Culex,Culex (Culex),quinquefasciatus,Mosquito
INS:ProyectoDengue67217:Aed-010,4,3 Machos | 1 Hembra,Sin alimento de sangre,Barrio_Olaya_Herrera,2021-02-11,CO:19532,Patía,Casa ubicada en el barrio Olaya Herrera de Patía (El Bordo),996 m,2.1096708,-76.9829303,Aedes aegypti,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia,Aedes,Aedes (Stegomyia),aegypti,Zancudo común
INS:ProyectoDengue67217:Aed-011,2,2 Machos,,Barrio_Olaya_Herrera,2021-02-11,CO:19532,Patía,Casa ubicada en el barrio Olaya Herrera de Patía (El Bordo),996 m,2.1096003,-76.9829025,Aedes aegypti,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia,Aedes,Aedes (Stegomyia),aegypti,Zancudo común
INS:ProyectoDengue67217:Aed-012,1,Hembra,Sin alimento de sangre,Barrio_Olaya_Herrera,2021-02-11,CO:19532,Patía,Casa ubicada en el barrio Olaya Herrera de Patía (El Bordo),996 m,2.113574,-76.985833,Aedes aegypti,Animalia | Arthropoda | Insecta | Diptera | Culicidae | Culicinae | Aedini | Aedes | Stegomyia,Aedes,Aedes (Stegomyia),aegypti,Zancudo común
